name,gender,SSN,age,complete address,zipcode of residence,state of residence,S1,S2,S3
David Moore,Male,679-56-7647,29,PSC 0956  Box 0712 APO AA 39088,39088,AA,AGREE,STRONGLY AGREE,STRONGLY AGREE
Jonathan Johnson,Male,810-25-6209,28,43198 Walters Throughway Suite 575 Lake Mary  NJ 66874,66874,NJ,AGREE,DISAGREE,DISAGREE
Jordan Garcia,Male,827-92-7580,48,5975 Carlos Isle Aaronmouth  AR 53120,53120,AR,DISAGREE,DISAGREE,STRONGLY DISAGREE
Ashley Parsons,Female,427-02-7943,68,2492 Kristin Way Apt. 612 New Amyport  KS 97021,97021,KS,STRONGLY DISAGREE,don't know,no community
Susan Savage,Female,209-89-3346,37,9255 Patrick Parks North Jay  NM 55753,55753,NM,STRONGLY AGREE,DISAGREE,AGREE
Eric Murray,Male,006-73-9806,35,23916 Robert Course Donnaville  AR 22737,22737,AR,STRONGLY AGREE,AGREE,STRONGLY DISAGREE
Michael Anderson,Male,823-83-3241,72,08051 Richard Lake Suite 685 South Benjaminchester  WY 92711,92711,WY,STRONGLY DISAGREE,STRONGLY AGREE,AGREE
Jamie Martinez,Female,009-75-6469,78,3641 Brenda Islands Suite 310 East Michelle  NV 96410,96410,NV,DISAGREE,STRONGLY DISAGREE,DISAGREE
Sandra Robertson,Female,227-72-5539,36,51667 Jackson Turnpike Apt. 572 North Brittanyfurt  ME 75832,75832,ME,AGREE,AGREE,DISAGREE
Wesley Simmons,Male,738-22-3917,35,261 Lewis Stravenue Stephensview  CO 28855,28855,CO,STRONGLY AGREE,DISAGREE,AGREE
Angelica Case,Female,230-24-8787,26,USCGC Hayes FPO AA 74578,74578,AA,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Kristin Atkins,Female,875-84-6453,33,86510 Strickland Mills Apt. 561 Lake Jonathan  IN 24036,24036,IN,STRONGLY AGREE,AGREE,STRONGLY AGREE
Andrew Meyer,Male,275-50-7782,25,3883 Ian Pines Apt. 949 Wademouth  VA 78932,78932,VA,AGREE,DISAGREE,AGREE
Alexis Tucker,Female,882-36-2568,67,91984 Matthew Mall Bonnieville  NJ 39179,39179,NJ,AGREE,AGREE,no community
Amy Travis,Female,373-85-6974,37,104 Earl Square Suite 817 Lake Heather  MT 66211,66211,MT,AGREE,AGREE,AGREE
Taylor Reyes,Female,817-98-0677,35,76983 Ross Hollow Apt. 106 Johnville  VT 33830,33830,VT,STRONGLY DISAGREE,DISAGREE,DISAGREE
Timothy Shaw,Male,445-04-2548,30,586 Mann Hills Apt. 203 Kathleenmouth  MO 33084,33084,MO,AGREE,don't know,AGREE
Brenda Rodriguez,Female,253-61-1060,18,9972 Chandler Lake Steventon  TN 40375,40375,TN,STRONGLY AGREE,DISAGREE,STRONGLY AGREE
Tina Jones,Female,146-03-3741,65,7838 Jimenez Heights Lake Hollyshire  UT 79460,79460,UT,AGREE,DISAGREE,depends
Diana Stewart,Female,669-41-1117,26,USS Lucero FPO AE 31123,31123,AE,NEUTRAL,AGREE,AGREE
Stacey Martinez,Female,075-15-5185,57,10825 Dawn Bypass Apt. 257 East Michaelland  UT 26237,26237,UT,DISAGREE,AGREE,DISAGREE
Ryan Gonzalez,Male,893-98-0470,59,2115 Vincent Via Port Joshuamouth  AL 40027,40027,AL,DISAGREE,STRONGLY AGREE,sometimes
Tracey Wheeler,Female,346-68-1588,20,Unit 2984 Box 6742 DPO AA 60460,60460,AA,NEUTRAL,AGREE,STRONGLY AGREE
Rachel Bishop,Female,098-05-6513,31,18049 Raymond Lock Christophermouth  SD 65375,65375,SD,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Matthew Copeland,Male,460-45-1505,39,300 Graham Junctions Apt. 983 Jessicaburgh  AK 40416,40416,AK,AGREE,STRONGLY AGREE,AGREE
Shannon Howard,Female,559-66-5262,50,0075 Melissa Parkway North Evelyn  OR 17688,17688,OR,AGREE,DISAGREE,no community
Kathryn Kelly,Female,545-97-2274,78,8661 Hammond Haven New Megan  FL 73405,73405,FL,STRONGLY AGREE,not sure,STRONGLY AGREE
Daniel James,Male,279-40-2810,53,646 Bonnie Islands West Billytown  NV 12792,12792,NV,DISAGREE,AGREE,STRONGLY DISAGREE
Dr. Jamie Parker PhD,Female,813-38-0299,77,4803 Steven Heights Suite 412 Jeanettebury  NY 91694,91694,NY,DISAGREE,AGREE,DISAGREE
Chelsea Brennan,Female,677-86-0072,29,1425 Rose Common Apt. 817 East Emily  ME 55213,55213,ME,STRONGLY AGREE,DISAGREE,sometimes
Anne Thompson,Female,821-56-0479,34,843 Larry Route Beckerborough  NM 83790,83790,NM,STRONGLY AGREE,STRONGLY DISAGREE,sometimes
Andrew Espinoza,Male,032-24-4107,52,273 Anthony Route Rogerhaven  WA 34032,34032,WA,AGREE,DISAGREE,AGREE
Mitchell Ayala,Male,374-25-9616,29,33469 Adrian Springs Apt. 410 Port Paulport  WY 82406,82406,WY,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
John Hill,Male,634-70-7238,30,301 Dean Port Jamesstad  MO 23067,23067,MO,AGREE,STRONGLY AGREE,AGREE
Amber Jones,Female,164-82-6306,33,41422 Campos Gateway Suite 264 Richardsonland  IA 37259,37259,IA,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Mrs. Jennifer Schultz,Female,739-04-0235,25,1588 Douglas Shores Medinaport  VA 19666,19666,VA,STRONGLY AGREE,STRONGLY AGREE,AGREE
Patricia Perez,Female,611-73-4515,19,532 Sims Stravenue Cynthiashire  AK 57579,57579,AK,STRONGLY AGREE,DISAGREE,DISAGREE
Michael Johnson,Male,345-61-8576,58,6612 Jesse Meadows Suite 439 South Cynthiamouth  MS 43753,43753,MS,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Glenn Hicks,Male,014-23-5382,60,976 Randy Courts Lancefort  GA 01833,1833,GA,DISAGREE,STRONGLY DISAGREE,DISAGREE
Felicia Frost,Female,386-40-9613,35,128 Smith Pass Suite 851 West Pam  NE 47288,47288,NE,DISAGREE,not sure,STRONGLY AGREE
Margaret Duncan,Female,218-29-5686,58,019 Vaughn Falls Michaelport  NV 84603,84603,NV,DISAGREE,DISAGREE,DISAGREE
Dale Curry,Male,035-52-0721,26,352 Cook Knolls Apt. 317 New Anna  FL 21868,21868,FL,AGREE,STRONGLY DISAGREE,AGREE
Stephen Russell,Male,827-91-5620,47,PSC 9333  Box 0291 APO AP 44227,44227,AP,STRONGLY AGREE,DISAGREE,AGREE
Cindy Clark,Female,076-32-9206,26,0201 Mckenzie Roads Lake Tinamouth  TN 89059,89059,TN,STRONGLY AGREE,AGREE,STRONGLY DISAGREE
Deborah Simpson,Female,676-48-6231,23,6598 Prince Common Suite 017 West Tinaport  NY 47795,47795,NY,STRONGLY AGREE,don't know,AGREE
Kara Roberts,Female,833-83-5803,32,15996 Mills Mountain East Joelburgh  NY 35121,35121,NY,NEUTRAL,maybe,DISAGREE
Erik Cooper,Male,059-28-5102,28,9611 Hill Drive Apt. 072 South Natalie  MD 45280,45280,MD,AGREE,AGREE,DISAGREE
Nathan Drake,Male,438-23-4971,40,714 Cook Junctions Jonesside  HI 36372,36372,HI,DISAGREE,DISAGREE,DISAGREE
Juan Anderson,Male,312-76-9396,64,099 Johnson Ports Port Christopher  DC 45548,45548,DC,AGREE,AGREE,STRONGLY DISAGREE
Louis Robinson,Male,358-96-2849,52,64773 Watts Run Suite 718 Gordonfort  MA 10437,10437,MA,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Daniel Boyd PhD,Male,823-90-2592,59,994 Megan Cliff Suite 097 West Matthewburgh  SC 25719,25719,SC,DISAGREE,AGREE,sometimes
Kirsten Horton,Female,741-09-0390,41,467 Brown Highway Suite 227 South Jacquelinestad  NV 86062,86062,NV,DISAGREE,DISAGREE,STRONGLY AGREE
Alicia Webb,Female,302-32-4054,61,24041 Wu Streets North Jamestown  SC 13780,13780,SC,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Karen Frazier,Female,513-05-7491,73,36444 Lee Springs Careyland  HI 97260,97260,HI,DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Madison Powell,Female,630-38-6132,63,1344 Austin Isle Apt. 839 Port Theresa  AL 64550,64550,AL,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Aaron Hamilton,Male,859-78-4088,18,71104 Brown Park Apt. 942 Lake Amandaport  ID 78918,78918,ID,AGREE,DISAGREE,STRONGLY AGREE
Nicholas Owens,Male,570-98-4958,20,09742 Klein Brooks Port Andrewville  IA 58676,58676,IA,AGREE,STRONGLY DISAGREE,AGREE
Mark Hall,Male,713-48-4027,20,601 Natalie Ridges Suite 220 Medinaberg  FL 12938,12938,FL,AGREE,maybe,STRONGLY DISAGREE
James Ho,Male,178-86-6436,31,795 Scott Greens Markmouth  GA 43751,43751,GA,AGREE,STRONGLY DISAGREE,AGREE
Steve Brown,Male,328-05-2204,51,3799 Donald Parkway Apt. 363 Kelleyhaven  WV 48907,48907,WV,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Bradley Yates,Male,459-88-9787,64,64724 Phillips Ports East Matthew  NE 21417,21417,NE,STRONGLY DISAGREE,STRONGLY AGREE,sometimes
Andrew Brown,Male,072-95-7411,50,PSC 4396  Box 0617 APO AE 48643,48643,AE,DISAGREE,DISAGREE,DISAGREE
Kristopher Flores,Male,356-34-6505,76,5918 Eddie Cliffs Apt. 659 Guzmanmouth  OH 24595,24595,OH,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Alan Martinez,Male,012-92-5336,29,712 Joanna Way Suite 976 East Lisahaven  WA 89228,89228,WA,AGREE,DISAGREE,AGREE
Miranda Jones,Female,424-18-4528,43,445 Samantha Spring Ashleyshire  AK 57523,57523,AK,STRONGLY AGREE,AGREE,DISAGREE
Audrey Ramirez,Female,658-40-3136,75,140 Jill Haven New Heidi  NJ 76725,76725,NJ,STRONGLY AGREE,not sure,no community
Matthew Sharp,Male,832-36-1244,60,USCGC Singh FPO AE 06661,6661,AE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Amanda Esparza,Female,886-12-5029,46,98693 John Burgs Port Ashleytown  MA 72594,72594,MA,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Mark Martin,Male,897-55-4786,19,8344 Gonzalez Extensions Suite 010 East Courtneybury  CA 37567,37567,CA,AGREE,STRONGLY DISAGREE,DISAGREE
Margaret Houston,Female,360-43-5272,63,66733 Hernandez Port West Ernest  FL 42555,42555,FL,STRONGLY AGREE,DISAGREE,DISAGREE
John Li,Male,857-39-0858,63,Unit 9821 Box 9438 DPO AP 59282,59282,AP,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
Claire Morris,Female,327-74-1308,18,411 Finley Squares North Judith  OR 27126,27126,OR,STRONGLY AGREE,STRONGLY AGREE,AGREE
Jesse Huber,Male,706-09-3431,23,91889 Melendez Mews Suite 567 Perezborough  GA 40158,40158,GA,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Matthew Love,Male,706-42-0883,47,179 Booker Harbor East Petermouth  MS 74460,74460,MS,DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
Richard Spencer,Male,171-71-7323,28,USCGC Wagner FPO AE 04435,4435,AE,AGREE,AGREE,STRONGLY DISAGREE
Joshua Ramirez,Male,381-09-6993,48,15933 Jonathan Points Michelleville  WV 45429,45429,WV,DISAGREE,DISAGREE,STRONGLY DISAGREE
Lori Potter,Female,565-68-9014,34,297 Laura Ridge Crystalville  ME 68887,68887,ME,STRONGLY AGREE,STRONGLY AGREE,DISAGREE
Stacey Morris,Female,483-68-7988,29,9714 Collins Parkways Apt. 760 New Sandraborough  NE 50323,50323,NE,STRONGLY AGREE,STRONGLY AGREE,DISAGREE
Beth Thomas,Female,583-04-9678,73,7690 Alexandra Overpass Irwinborough  TX 48570,48570,TX,STRONGLY DISAGREE,DISAGREE,STRONGLY DISAGREE
Helen Madden,Female,324-35-8611,31,8626 Miguel Ridge East Jeremyborough  WY 59458,59458,WY,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
Jonathan Kemp,Male,072-16-4094,63,91153 Smith Springs Port Gregory  KS 41893,41893,KS,DISAGREE,AGREE,no community
Ricky Snyder,Male,184-57-3846,37,2801 Mendoza Lane Apt. 696 Paulport  PA 04686,4686,PA,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Jill Hodges,Female,068-39-7157,25,PSC 6537  Box 0244 APO AA 22075,22075,AA,STRONGLY AGREE,DISAGREE,STRONGLY DISAGREE
John Rose,Male,466-16-4140,27,9195 Jason Neck East Harold  FL 32928,32928,FL,AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Amanda Jenkins,Female,021-93-7484,25,39679 Cheryl Mission Port Markburgh  HI 69963,69963,HI,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Jeffrey Martin,Male,540-78-7596,64,9461 Martin Ramp Apt. 654 Christopherville  MA 94827,94827,MA,STRONGLY DISAGREE,DISAGREE,AGREE
Erin Morrison,Female,200-78-1446,28,58003 James Crescent Michaelville  FL 88164,88164,FL,STRONGLY AGREE,AGREE,AGREE
Kenneth Perez,Male,589-40-6868,31,0798 Andrews Camp Kevinchester  VT 77216,77216,VT,AGREE,STRONGLY AGREE,STRONGLY AGREE
Brandon Burton,Male,179-16-8235,31,203 James Radial Suite 093 South Rachel  SD 07716,7716,SD,AGREE,STRONGLY AGREE,STRONGLY AGREE
Monica Evans,Female,515-54-8956,26,36381 Joyce Court North Karen  CA 79319,79319,CA,STRONGLY AGREE,DISAGREE,STRONGLY DISAGREE
Glenn Butler,Male,366-83-2050,58,33469 Smith Expressway Jacksonfurt  OR 32100,32100,OR,STRONGLY DISAGREE,AGREE,STRONGLY AGREE
Colleen Fowler,Female,683-09-1886,27,605 Brenda Creek Suite 450 South Dorisberg  AR 26387,26387,AR,NEUTRAL,STRONGLY DISAGREE,DISAGREE
Stephanie Evans,Female,653-21-4823,33,893 Joshua Divide Suite 209 Zacharyside  MI 95745,95745,MI,STRONGLY AGREE,maybe,STRONGLY AGREE
Laura Jackson,Female,828-03-5407,25,4485 Jenkins Cape Suite 760 Lake Jeremyside  SD 82471,82471,SD,NEUTRAL,AGREE,DISAGREE
Craig Gillespie,Male,098-57-7264,30,63491 Webb Rapid Martinezfort  MO 41426,41426,MO,AGREE,maybe,no community
Mark Lee,Male,413-16-4709,65,PSC 6200  Box 7322 APO AA 93158,93158,AA,DISAGREE,AGREE,DISAGREE
Cynthia Vega,Female,358-27-4170,30,295 Robert Estates Terrellland  MS 80878,80878,MS,STRONGLY AGREE,STRONGLY AGREE,DISAGREE
Rebecca Kelly,Female,037-80-8050,66,91031 Sanders Harbor Apt. 608 North Jason  AK 43356,43356,AK,STRONGLY DISAGREE,DISAGREE,STRONGLY DISAGREE
Larry Martin,Male,155-90-1689,38,USNV Murphy FPO AE 87378,87378,AE,STRONGLY AGREE,DISAGREE,AGREE
Darlene Butler,Female,402-02-0287,69,599 Matthew Fall Suite 705 Hortonville  LA 12341,12341,LA,STRONGLY AGREE,DISAGREE,AGREE
Collin Carr,Male,899-13-0779,44,2400 Nguyen Underpass North Carlos  CA 04437,4437,CA,STRONGLY AGREE,DISAGREE,AGREE
Steven Jordan,Male,767-28-3060,35,12092 Christopher Key Patrickbury  WA 84577,84577,WA,AGREE,DISAGREE,DISAGREE
Brittany Greene,Female,782-45-1345,67,4130 Curtis Loaf Apt. 831 Dodsontown  NJ 30386,30386,NJ,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Michael Davis,Male,003-60-1174,62,265 Crawford Ranch Apt. 650 Michaelbury  KY 14826,14826,KY,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Katie Gibson,Female,530-75-3908,66,17082 Ronald Isle Kathleenport  IN 57734,57734,IN,STRONGLY AGREE,AGREE,AGREE
Heidi Taylor,Female,360-44-7595,78,229 Morris Wells Ruizport  NH 44459,44459,NH,STRONGLY AGREE,STRONGLY AGREE,DISAGREE
Robert Schmidt,Male,801-79-3293,26,87568 Scott Bridge Apt. 645 South Joseph  CT 37339,37339,CT,AGREE,STRONGLY AGREE,DISAGREE
Gary Dunn,Male,711-23-2950,64,969 Joseph Streets Jonstad  FL 33953,33953,FL,AGREE,AGREE,DISAGREE
Gina Scott,Female,705-96-0770,61,7750 Smith Ramp West Wesley  ID 57482,57482,ID,STRONGLY DISAGREE,AGREE,DISAGREE
James Bell,Male,028-16-7891,20,21768 Sheila Mall Apt. 989 Baileyburgh  ME 49096,49096,ME,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Jason Russell,Male,629-71-1829,62,52079 Turner Falls East Cherylberg  LA 58606,58606,LA,DISAGREE,DISAGREE,STRONGLY AGREE
Dustin Romero,Male,718-70-3550,45,16024 Denise Junctions Birdside  GA 85436,85436,GA,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
William Green,Male,349-26-0438,38,08808 Ortiz Lakes Suite 440 Port Susan  OK 04501,4501,OK,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
Robert Smith,Male,729-03-5268,42,USCGC Riley FPO AA 81176,81176,AA,DISAGREE,AGREE,STRONGLY AGREE
Aaron Dunn,Male,293-92-2349,59,5252 Scott Stravenue Apt. 602 North Brian  TN 47234,47234,TN,STRONGLY AGREE,AGREE,DISAGREE
Gloria Robinson,Female,446-31-9748,74,6686 Devon Union Suite 676 Duncanton  GA 32721,32721,GA,STRONGLY AGREE,not sure,DISAGREE
Alexis Hensley,Female,316-57-0276,53,8660 Brenda Expressway Suite 357 Abigailchester  GA 83354,83354,GA,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
Mr. Garrett Jordan,Male,022-44-5767,22,0639 Brian Crossing Apt. 849 South Brandytown  GA 12361,12361,GA,AGREE,AGREE,AGREE
Richard Mccoy,Male,196-96-4227,73,8206 Johnston Hollow Suite 335 Clarkland  PA 82305,82305,PA,AGREE,maybe,AGREE
Kimberly Sullivan,Female,631-14-3166,44,Unit 5924 Box 9854 DPO AP 79612,79612,AP,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Alec Gomez,Male,261-48-2551,57,204 Rodney Stravenue Lake Melindastad  KY 17114,17114,KY,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Janet Beck,Female,547-28-5262,76,54970 Stacy Ferry Apt. 196 Lake Jeffrey  IN 35067,35067,IN,STRONGLY AGREE,DISAGREE,AGREE
Steven Love,Male,191-56-5772,43,015 Wilson Grove Suite 089 Taylorville  KY 13345,13345,KY,DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Kelly Walker,Female,893-91-9502,75,60610 Roberts Crescent Aprilmouth  AL 44644,44644,AL,AGREE,STRONGLY AGREE,AGREE
Travis Holt,Male,173-51-8629,46,98732 Carroll Loop Suite 568 North Casey  NM 12231,12231,NM,AGREE,maybe,STRONGLY DISAGREE
Jennifer Kemp,Female,062-51-3896,59,5402 Erin Hills South Susan  ID 83532,83532,ID,DISAGREE,AGREE,STRONGLY AGREE
Nicholas Werner,Male,672-05-0768,50,8813 Jason Mountains Apt. 211 North Michaelshire  NY 51482,51482,NY,STRONGLY DISAGREE,DISAGREE,AGREE
Tara Li,Female,506-56-3307,50,51369 Nathan Divide Suite 014 North Raymondburgh  OH 43699,43699,OH,STRONGLY AGREE,AGREE,DISAGREE
Justin Evans,Male,078-01-7632,55,6693 Hill Cliffs Apt. 227 Brownbury  VA 54700,54700,VA,STRONGLY AGREE,AGREE,AGREE
Megan Simmons,Female,173-26-7646,67,347 Jennifer Rue East Deborah  NY 02045,2045,NY,STRONGLY DISAGREE,maybe,sometimes
Stephanie Cain,Female,670-66-0179,60,614 Reid Drives Apt. 083 Petersonfurt  DE 73445,73445,DE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Jennifer Richardson,Female,822-54-5728,70,25968 Thomas Canyon Apt. 501 South Tammy  NV 09499,9499,NV,STRONGLY AGREE,maybe,AGREE
Jennifer Rodriguez,Female,620-90-2116,19,798 Terry Spring Lake Johnhaven  RI 26030,26030,RI,STRONGLY AGREE,STRONGLY AGREE,DISAGREE
Julie Johnson,Female,834-03-6507,68,3781 Smith Knoll Brettton  GA 93021,93021,GA,DISAGREE,DISAGREE,DISAGREE
Christine Middleton,Female,077-66-8129,54,633 Kellie Rest East Andrew  SC 90280,90280,SC,DISAGREE,DISAGREE,DISAGREE
Kimberly Dunn,Female,682-63-0988,52,37229 Jason Drive North Rebecca  AR 98907,98907,AR,STRONGLY DISAGREE,STRONGLY DISAGREE,DISAGREE
Mrs. Diane Smith DDS,Female,710-89-8441,51,4075 Benjamin Fork West Anne  MI 17315,17315,MI,DISAGREE,STRONGLY DISAGREE,AGREE
Daniel Hall,Male,031-96-6316,35,2381 Stanley Walk New Sean  KS 74692,74692,KS,STRONGLY DISAGREE,DISAGREE,DISAGREE
Brooke Austin,Female,134-38-5485,64,9060 Weeks Falls Suite 423 Jenkinsborough  TN 37673,37673,TN,AGREE,AGREE,STRONGLY DISAGREE
Kellie Sutton,Female,304-24-7025,55,0692 Burgess Park New Elizabeth  NJ 55307,55307,NJ,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE
Erika Carey,Female,879-31-7615,44,6062 Wilson Track Apt. 391 New Melissaport  AL 26904,26904,AL,STRONGLY DISAGREE,STRONGLY DISAGREE,no community
Norma Hall,Female,478-17-1214,72,24792 David Parks New Anthony  IL 28336,28336,IL,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Rebecca Hansen,Female,413-83-5354,65,6011 Jennifer Divide Suite 526 Dennistown  TX 75884,75884,TX,AGREE,DISAGREE,sometimes
Andrew Schneider,Male,428-47-7101,51,555 Nancy Estates Suite 010 South Joseph  VT 95678,95678,VT,STRONGLY AGREE,DISAGREE,STRONGLY AGREE
Briana Mcgee,Female,037-12-3920,77,6597 Ho Mission North Levi  CA 73305,73305,CA,AGREE,AGREE,AGREE
Melissa Robertson,Female,786-78-9986,37,2273 Wendy Groves Suite 470 New Tracy  CT 60034,60034,CT,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Christopher Davis,Male,747-08-1331,51,08025 Jeffrey Corners Suite 274 North Williammouth  TX 80326,80326,TX,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
Shane Sawyer,Male,661-07-3317,61,5909 Holland Crest Suite 772 Davidhaven  CA 45348,45348,CA,STRONGLY DISAGREE,AGREE,DISAGREE
Jeremy Reynolds,Male,493-81-0131,75,512 Snyder Orchard Suite 540 Starkbury  PA 78101,78101,PA,DISAGREE,AGREE,STRONGLY AGREE
Mary Romero,Female,844-97-4905,75,680 Gordon Ferry Suite 234 Port Dustinbury  HI 11435,11435,HI,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Guy Vasquez,Male,322-03-8608,48,Unit 9853 Box 9664 DPO AA 83752,83752,AA,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
Alexis Doyle,Female,640-18-6990,35,2357 Moore Pines New Scott  WV 48807,48807,WV,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
Amanda Lee,Female,729-08-8418,60,00255 Mayo Court West Mathew  WI 27127,27127,WI,DISAGREE,STRONGLY DISAGREE,AGREE
Anthony Burton,Male,023-59-6737,18,PSC 9511  Box 6974 APO AA 98460,98460,AA,AGREE,STRONGLY AGREE,STRONGLY AGREE
Trevor Duarte,Male,573-62-2424,60,6136 Michele Ferry New Victoria  OH 83892,83892,OH,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Frances Santos,Female,298-87-3153,65,1631 Koch Ways Donaldfort  IN 77734,77734,IN,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Robert Dunn,Male,180-40-2330,65,4712 Powell View Apt. 661 Johnsonstad  MA 97812,97812,MA,DISAGREE,AGREE,AGREE
Cynthia Wright,Female,024-88-0005,75,4009 David Trafficway Suite 973 Christophertown  SC 20096,20096,SC,AGREE,DISAGREE,STRONGLY AGREE
Brandon Chen,Male,868-99-3224,53,850 Richards Greens Suite 416 North Pamelaberg  MT 80627,80627,MT,STRONGLY AGREE,STRONGLY AGREE,AGREE
Derrick Harvey,Male,615-34-2328,35,5013 Pennington Neck Sotobury  KS 19062,19062,KS,DISAGREE,DISAGREE,AGREE
James Harris,Male,422-91-3563,70,USNS Mendez FPO AE 23802,23802,AE,STRONGLY AGREE,AGREE,STRONGLY DISAGREE
Michael Williams,Male,880-49-7194,44,692 Anthony Stream Suite 573 Tiffanyfort  ID 33545,33545,ID,AGREE,STRONGLY AGREE,STRONGLY AGREE
Kristopher Munoz,Male,797-21-5910,71,5672 Horton Ville North Victor  UT 29682,29682,UT,DISAGREE,DISAGREE,AGREE
William Rice,Male,053-73-1882,49,75483 Lewis Stravenue Suite 667 Carriefurt  KS 87724,87724,KS,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
Tim Ford,Male,269-43-9969,25,USCGC Ray FPO AE 54128,54128,AE,DISAGREE,DISAGREE,STRONGLY AGREE
Janice Oconnor,Female,313-58-7844,18,6657 Michael Underpass Mendozaberg  NH 11868,11868,NH,STRONGLY AGREE,AGREE,DISAGREE
Lee Nelson,Male,244-97-7173,41,98383 Jennifer Port Port Chris  OK 01275,1275,OK,STRONGLY DISAGREE,AGREE,AGREE
Megan Clark,Female,385-25-1211,21,69627 Smith Mount East Heatherville  OR 62249,62249,OR,STRONGLY AGREE,AGREE,STRONGLY DISAGREE
John Page,Male,170-38-8980,71,621 Bell Prairie New Jonathanhaven  NJ 39346,39346,NJ,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
Cheyenne Davis,Female,687-05-6320,73,7577 Prince Park Apt. 369 Cameronview  CA 66841,66841,CA,AGREE,AGREE,AGREE
Peter Roberts,Male,559-73-5872,65,298 Kevin Ranch Suite 934 Elliottfurt  AZ 21718,21718,AZ,STRONGLY AGREE,DISAGREE,STRONGLY DISAGREE
Travis Sloan,Male,880-59-0711,69,83303 Matthew Groves Suite 951 Taylorview  KS 68256,68256,KS,DISAGREE,STRONGLY DISAGREE,DISAGREE
Jennifer Buckley,Female,468-64-6925,27,1909 Elizabeth Stream Apt. 878 New Troyport  HI 93491,93491,HI,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Melissa Abbott,Female,566-03-3067,30,04227 Timothy Prairie Olsonport  RI 32124,32124,RI,STRONGLY AGREE,don't know,STRONGLY DISAGREE
Mark Green,Male,678-05-0793,74,519 Hannah Circle Apt. 396 Lake Michael  GA 06823,6823,GA,AGREE,DISAGREE,STRONGLY DISAGREE
Trevor Phillips,Male,873-49-2503,62,2598 Steve Burgs Suite 299 Markview  MI 08635,8635,MI,AGREE,STRONGLY AGREE,no community
Alan Weiss,Male,768-34-7852,53,196 Renee Village Apt. 468 East Daniel  OK 14820,14820,OK,STRONGLY AGREE,STRONGLY AGREE,depends
David Davidson,Male,588-41-2625,20,64775 William Alley Lake Maryshire  AR 69319,69319,AR,AGREE,STRONGLY DISAGREE,DISAGREE
Thomas Jackson,Male,230-43-0781,62,001 Davis Wall Nicholasport  FL 23982,23982,FL,DISAGREE,DISAGREE,DISAGREE
Melissa Jones,Female,461-67-5931,59,8550 Leon Mission Suite 175 Lake Helenside  AK 71927,71927,AK,STRONGLY AGREE,AGREE,STRONGLY DISAGREE
Christian Walker,Male,304-19-6431,65,7581 Christine Causeway Stacytown  RI 99093,99093,RI,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
